ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,churn_event,region_Zone1,region_Zone2,region_Zone3,marital_Married,ed_level,retire_Yes,gender_Male,voice_Yes,internet_Yes,forward_Yes,custcat_Basic service,custcat_E-service,custcat_Plus service,custcat_Total service,CLV,income_quartile,age_group,high_value,high_income,surv_prob_1year,churn_risk_1year
11,Zone 2,5,33,Unmarried,10,125,College degree,No,Female,No,Yes,No,Basic service,Yes,1,0,1,0,0,3.0,0,0,0,1,0,True,False,False,False,910.4469253674956,Q4 (High),30-40,0,1,0.5815247501599934,0.4184752498400066
12,Zone 3,7,35,Unmarried,14,80,High school degree,No,Female,Yes,No,Yes,Plus service,No,0,0,0,1,0,2.0,0,0,1,0,1,False,False,True,False,1863.4438719289556,Q3,30-40,0,1,0.9380004407921089,0.06199955920789113
13,Zone 1,41,38,Married,8,37,High school degree,No,Female,No,No,No,Basic service,No,0,1,0,0,1,2.0,0,0,0,0,0,True,False,False,False,1726.2883859390647,Q2,30-40,0,0,0.9079292471533317,0.09207075284666832
14,Zone 2,57,54,Married,30,115,College degree,No,Female,Yes,Yes,Yes,Total service,Yes,1,0,1,0,1,3.0,0,0,1,1,1,False,False,False,True,2121.9481886626586,Q4 (High),50+,1,1,0.9827436134536479,0.017256386546352087
15,Zone 2,9,46,Unmarried,3,25,Did not complete high school,No,Female,No,No,No,Basic service,No,0,0,1,0,0,1.0,0,0,0,0,0,True,False,False,False,1656.5658221240071,Q1 (Low),40-50,0,0,0.8906053795009612,0.10939462049903881
16,Zone 1,29,38,Married,12,75,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,0,1,0,0,1,4.0,0,1,0,1,0,False,True,False,False,1804.0199249957088,Q3,30-40,0,1,0.925585129935234,0.07441487006476599
17,Zone 3,60,57,Unmarried,38,162,High school degree,No,Male,No,No,Yes,Plus service,No,0,0,0,1,0,2.0,0,1,0,0,1,False,False,True,False,2219.892481011769,Q4 (High),50+,1,1,0.9963964875114873,0.00360351248851265
18,Zone 3,34,48,Unmarried,3,49,High school degree,No,Female,No,No,Yes,Plus service,No,0,0,0,1,0,2.0,0,0,0,0,1,False,False,True,False,2009.734029083869,Q3,40-50,0,1,0.9650142940085509,0.03498570599144912
19,Zone 2,1,24,Unmarried,3,20,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,1,0,0,1.0,0,1,0,0,0,True,False,False,False,1124.2964762767133,Q1 (Low),<30,0,0,0.6976605951131141,0.30233940488688593
20,Zone 1,26,29,Married,3,77,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,1,0,0,1,3.0,0,1,1,1,1,False,False,False,True,1221.6923204963587,Q3,<30,0,1,0.742464124332123,0.25753587566787695
22,Zone 1,68,52,Married,17,120,Did not complete high school,No,Male,No,No,Yes,Basic service,No,0,1,0,0,1,1.0,0,1,0,0,1,True,False,False,False,2046.710360125764,Q4 (High),50+,0,1,0.9711212675162457,0.028878732483754277
23,Zone 3,53,33,Unmarried,10,101,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,0,0,0,1,0,4.0,0,0,1,1,1,False,False,False,True,1224.4592081092565,Q4 (High),30-40,0,1,0.743666771974727,0.25633322802527303
24,Zone 3,55,48,Married,19,67,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,0,1,1,1.0,0,1,0,0,0,True,False,False,False,2079.668276579142,Q3,40-50,0,1,0.976341167897153,0.023658832102847027
25,Zone 3,14,43,Married,18,36,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0,0,1,1,1.0,0,1,0,0,1,False,False,True,False,2177.639880238343,Q2,40-50,1,0,0.9907003276850679,0.009299672314932117
26,Zone 2,1,21,Unmarried,0,33,High school degree,No,Female,No,No,Yes,Plus service,No,0,0,1,0,0,2.0,0,0,0,0,1,False,False,True,False,1476.4266327275031,Q2,<30,0,0,0.8384105111543217,0.16158948884567825
27,Zone 2,42,40,Unmarried,7,37,High school degree,No,Female,Yes,Yes,No,Total service,No,0,0,1,0,0,2.0,0,0,1,1,0,False,False,False,True,1538.8749853492689,Q2,30-40,0,0,0.8578100538839779,0.1421899461160221
28,Zone 3,25,33,Married,11,31,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0,0,1,1,1.0,0,1,0,0,1,False,False,True,False,2085.9743940419776,Q2,30-40,0,0,0.9773167093340366,0.022683290665963418
29,Zone 1,9,21,Married,1,17,High school degree,No,Female,No,No,No,Basic service,No,0,1,0,0,1,2.0,0,0,0,0,0,True,False,False,False,1206.812536125739,Q1 (Low),<30,0,0,0.735931319384395,0.26406868061560496
30,Zone 2,13,33,Married,9,19,College degree,No,Female,No,Yes,No,E-service,No,0,0,1,0,1,3.0,0,0,0,1,0,False,True,False,False,1811.0849527074442,Q1 (Low),30-40,0,0,0.9271085983740731,0.07289140162592689
31,Zone 1,56,37,Married,6,36,Did not complete high school,No,Female,No,Yes,No,E-service,No,0,1,0,0,1,1.0,0,0,0,1,0,False,True,False,False,1957.091305739494,Q2,30-40,0,0,0.9558379876032707,0.044162012396729344
32,Zone 1,71,53,Married,27,155,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,No,0,1,0,0,1,4.0,0,1,1,1,1,False,False,False,True,2020.8648290715616,Q4 (High),50+,0,1,0.9668812346792424,0.03311876532075764
33,Zone 1,35,50,Married,26,140,High school degree,No,Female,No,No,Yes,Plus service,No,0,1,0,0,1,2.0,0,0,0,0,1,False,False,True,False,2205.1962342397715,Q4 (High),40-50,1,1,0.994447403416427,0.0055525965835729885
34,Zone 1,11,27,Married,8,55,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,0,1,0,0,1,4.0,0,1,0,1,0,False,True,False,False,1512.2096150960356,Q3,<30,0,1,0.8497053699219947,0.15029463007800525
36,Zone 3,20,35,Married,11,52,College degree,No,Male,No,Yes,No,E-service,Yes,1,0,0,1,1,3.0,0,1,0,1,0,False,True,False,False,1871.7822369096664,Q3,30-40,0,1,0.9396719917534849,0.060328008246515075
37,Zone 2,54,60,Unmarried,38,211,College degree,No,Male,Yes,Yes,No,Total service,No,0,0,1,0,0,3.0,0,1,1,1,0,False,False,False,True,2136.2693656839965,Q4 (High),50+,1,1,0.9848402026550631,0.015159797344936887
38,Zone 1,44,57,Married,1,186,High school degree,No,Male,Yes,No,Yes,Plus service,No,0,1,0,0,1,2.0,0,1,1,0,1,False,False,True,False,2033.3749832047592,Q4 (High),50+,0,1,0.9689499728798565,0.031050027120143486
39,Zone 1,11,41,Married,0,39,Did not complete high school,No,Female,Yes,No,Yes,Plus service,Yes,1,1,0,0,1,1.0,0,0,1,0,1,False,False,True,False,1929.7584409957399,Q2,40-50,0,0,0.9508388356709346,0.049161164329065365
40,Zone 2,72,57,Unmarried,34,22,High school degree,Yes,Female,No,No,Yes,Plus service,No,0,0,1,0,0,2.0,1,0,0,0,1,False,False,True,False,2200.389087147491,Q1 (Low),50+,1,0,0.9938024873662226,0.0061975126337774356
41,Zone 3,10,41,Unmarried,7,30,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0,0,1,0,1.0,0,1,0,0,1,False,False,True,False,2009.3673237255762,Q2,40-50,0,0,0.9649523617437793,0.0350476382562207
42,Zone 2,15,28,Unmarried,0,29,High school degree,No,Female,No,No,Yes,Plus service,No,0,0,1,0,0,2.0,0,0,0,0,1,False,False,True,False,1620.7735361660016,Q1 (Low),<30,0,0,0.8811237186315942,0.11887628136840578
43,Zone 2,27,28,Married,4,23,High school degree,No,Male,No,No,No,Basic service,No,0,0,1,0,1,2.0,0,1,0,0,0,True,False,False,False,1395.919082131049,Q1 (Low),<30,0,0,0.8111485272159784,0.1888514727840216
44,Zone 1,9,36,Married,14,62,College degree,No,Male,Yes,Yes,No,Total service,Yes,1,1,0,0,1,3.0,0,1,1,1,0,False,False,False,True,1683.2319395703298,Q3,30-40,0,1,0.8974054707124043,0.10259452928759571
45,Zone 1,64,43,Married,20,76,College degree,No,Female,No,No,No,Plus service,No,0,1,0,0,1,3.0,0,0,0,0,0,False,False,True,False,2153.1774046830487,Q3,40-50,1,1,0.9872700159003489,0.012729984099651093
46,Zone 1,65,41,Married,3,74,College degree,No,Male,Yes,Yes,No,E-service,No,0,1,0,0,1,3.0,0,1,1,1,0,False,True,False,False,1570.3480476072284,Q3,40-50,0,1,0.8670448424661831,0.13295515753381693
47,Zone 1,49,51,Married,27,63,College degree,No,Male,No,Yes,No,E-service,No,0,1,0,0,1,3.0,0,1,0,1,0,False,True,False,False,2148.4028512329223,Q3,50+,1,1,0.9865888107136703,0.013411189286329672
48,Zone 3,47,41,Married,0,36,College degree,No,Male,No,Yes,No,Total service,Yes,1,0,0,1,1,3.0,0,1,0,1,0,False,False,False,True,1750.8276702010212,Q2,40-50,0,0,0.913684633267693,0.086315366732307
49,Zone 3,9,34,Married,9,33,High school degree,No,Female,No,No,No,Basic service,Yes,1,0,0,1,1,2.0,0,0,0,0,0,True,False,False,False,1732.9080761927453,Q2,30-40,0,0,0.9094988012553102,0.09050119874468976
50,Zone 1,5,36,Unmarried,14,29,High school degree,No,Female,No,Yes,Yes,Plus service,Yes,1,1,0,0,0,2.0,0,0,0,1,1,False,False,True,False,1689.9036628407928,Q1 (Low),30-40,0,0,0.8990725348675406,0.10092746513245943
51,Zone 2,30,34,Married,4,27,High school degree,No,Male,No,Yes,No,Basic service,Yes,1,0,1,0,1,2.0,0,1,0,1,0,True,False,False,False,1106.0789309294078,Q1 (Low),30-40,0,0,0.6887333545669873,0.31126664543301275
52,Zone 1,56,52,Married,28,49,High school degree,No,Male,No,No,No,E-service,No,0,1,0,0,1,2.0,0,1,0,0,0,False,True,False,False,2220.4681312207454,Q3,50+,1,1,0.9964721477345863,0.0035278522654137445
53,Zone 3,10,22,Unmarried,0,24,College degree,No,Male,Yes,Yes,Yes,Total service,No,0,0,0,1,0,3.0,0,1,1,1,1,False,False,False,True,806.463051156836,Q1 (Low),<30,0,0,0.5160963836649048,0.48390361633509515
54,Zone 1,7,26,Married,3,26,High school degree,No,Male,No,No,No,Basic service,No,0,1,0,0,1,2.0,0,1,0,0,0,True,False,False,False,1307.9938258601205,Q1 (Low),<30,0,0,0.7782325871687706,0.22176741283122936
56,Zone 2,36,45,Married,1,94,High school degree,No,Female,No,Yes,No,Basic service,Yes,1,0,1,0,1,2.0,0,0,0,1,0,True,False,False,False,1340.8173093962416,Q4 (High),40-50,0,1,0.7909217189474707,0.20907828105252935
58,Zone 1,58,62,Married,36,27,Did not complete high school,No,Male,No,No,No,Basic service,No,0,1,0,0,1,1.0,0,1,0,0,0,True,False,False,False,2206.586439728806,Q1 (Low),50+,1,0,0.9946332291477319,0.00536677085226811
59,Zone 2,41,52,Unmarried,27,30,High school degree,No,Female,No,No,Yes,Plus service,No,0,0,1,0,0,2.0,0,0,0,0,1,False,False,True,False,2182.8739061162682,Q2,50+,1,0,0.9914214654819228,0.008578534518077219
60,Zone 2,47,40,Married,16,127,College degree,No,Female,No,Yes,No,E-service,No,0,0,1,0,1,3.0,0,0,0,1,0,False,True,False,False,2007.2639063554311,Q4 (High),30-40,0,1,0.9645965913804377,0.03540340861956226
61,Zone 2,55,39,Married,15,137,High school degree,No,Female,Yes,No,Yes,Plus service,Yes,1,0,1,0,1,2.0,0,0,1,0,1,False,False,True,False,2042.193763009455,Q4 (High),30-40,0,1,0.9703897482930286,0.029610251706971402
62,Zone 2,56,50,Married,1,80,High school degree,No,Female,Yes,No,Yes,Total service,No,0,0,1,0,1,2.0,0,0,1,0,1,False,False,False,True,2033.0506416512953,Q3,40-50,0,1,0.9688967293159798,0.03110327068402019
63,Zone 3,35,55,Unmarried,24,30,High school degree,No,Male,No,No,No,Basic service,No,0,0,0,1,0,2.0,0,1,0,0,0,True,False,False,False,2036.151895277235,Q2,50+,0,0,0.9694049812084774,0.0305950187915226
64,Zone 2,69,51,Married,11,438,College degree,No,Female,No,Yes,No,Total service,No,0,0,1,0,1,3.0,0,0,0,1,0,False,False,False,True,2051.3591139030964,Q4 (High),50+,0,1,0.9718700695133579,0.02812993048664214
65,Zone 2,44,39,Unmarried,16,79,High school degree,No,Male,No,Yes,Yes,Total service,Yes,1,0,1,0,0,2.0,0,1,0,1,1,False,False,False,True,1812.0499506622934,Q3,30-40,0,1,0.9273156717341564,0.07268432826584359
66,Zone 3,36,47,Married,16,63,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,0,1,1,1.0,0,1,0,0,0,True,False,False,False,2043.9479022346711,Q3,40-50,0,1,0.9706743232539007,0.029325676746099316
68,Zone 1,72,67,Married,44,51,Did not complete high school,Yes,Male,No,No,Yes,Plus service,No,0,1,0,0,1,1.0,1,1,0,0,1,False,False,True,False,2239.651083507582,Q3,50+,1,1,0.9989643379366611,0.001035662063338938
70,Zone 3,3,43,Unmarried,19,61,College degree,No,Female,No,Yes,No,Basic service,Yes,1,0,0,1,0,3.0,0,0,0,1,0,True,False,False,False,1398.5576965880744,Q3,40-50,0,1,0.8120842946778049,0.18791570532219515
71,Zone 1,40,57,Married,15,22,High school degree,No,Male,No,No,No,Basic service,No,0,1,0,0,1,2.0,0,1,0,0,0,True,False,False,False,2046.2810546382311,Q1 (Low),50+,0,0,0.9710519062488565,0.02894809375114349
72,Zone 3,16,39,Unmarried,6,44,College degree,No,Female,No,Yes,No,E-service,No,0,0,0,1,0,3.0,0,0,0,1,0,False,True,False,False,1685.5458427937674,Q2,30-40,0,0,0.8979851820221203,0.1020148179778797
74,Zone 2,48,43,Unmarried,13,110,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service,No,0,0,1,0,0,4.0,0,0,1,1,0,False,True,False,False,1550.8595725186549,Q4 (High),40-50,0,1,0.8613682058819156,0.13863179411808435
75,Zone 2,64,48,Married,13,91,High school degree,No,Male,No,No,Yes,Plus service,No,0,0,1,0,1,2.0,0,1,0,0,1,False,False,True,False,2144.247851197443,Q4 (High),40-50,1,1,0.9859928504007063,0.014007149599293722
76,Zone 1,8,46,Unmarried,3,46,High school degree,No,Male,No,Yes,No,Basic service,No,0,1,0,0,0,2.0,0,1,0,1,0,True,False,False,False,1055.8003237642497,Q2,40-50,0,0,0.6631740807328268,0.3368259192671732
78,Zone 2,38,71,Unmarried,27,10,High school degree,Yes,Male,No,No,No,Basic service,No,0,0,1,0,0,2.0,1,1,0,0,0,True,False,False,False,2116.39866666866,Q1 (Low),50+,1,0,0.9819215255162395,0.018078474483760543
79,Zone 1,67,68,Unmarried,28,244,Did not complete high school,No,Female,Yes,No,Yes,Plus service,No,0,1,0,0,0,1.0,0,0,1,0,1,False,False,True,False,2209.8513529939332,Q4 (High),50+,1,1,0.9950684462870596,0.004931553712940406
80,Zone 1,26,42,Unmarried,0,80,College degree,No,Female,Yes,Yes,Yes,Total service,No,0,1,0,0,0,3.0,0,0,1,1,1,False,False,False,True,1222.637478882914,Q3,40-50,0,1,0.7428753700779428,0.2571246299220572
81,Zone 3,41,34,Married,15,83,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,0,0,0,1,1,4.0,0,0,1,1,1,False,False,False,True,1629.8289594382882,Q3,30-40,0,1,0.8835617710310543,0.11643822896894573
82,Zone 2,2,31,Unmarried,2,21,Did not complete high school,No,Male,No,No,No,Basic service,Yes,1,0,1,0,0,1.0,0,1,0,0,0,True,False,False,False,1256.0078530610342,Q1 (Low),30-40,0,0,0.7571141634959878,0.2428858365040122
83,Zone 3,20,48,Married,29,24,High school degree,No,Male,Yes,No,Yes,Total service,Yes,1,0,0,1,1,2.0,0,1,1,0,1,False,False,False,True,2191.308329869651,Q1 (Low),40-50,1,0,0.9925741980810858,0.007425801918914177
85,Zone 2,45,52,Married,4,169,College degree,No,Female,No,Yes,No,E-service,No,0,0,1,0,1,3.0,0,0,0,1,0,False,True,False,False,1994.7628806304635,Q4 (High),50+,0,1,0.9624635172495022,0.03753648275049781
86,Zone 2,33,27,Married,7,46,High school degree,No,Male,No,No,No,Basic service,No,0,0,1,0,1,2.0,0,1,0,0,0,True,False,False,False,1447.4244852294746,Q2,<30,0,0,0.8288916521119313,0.17110834788806872
88,Zone 2,62,54,Married,2,50,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,0,1,0,1,3.0,0,1,1,1,1,False,False,False,True,1736.9046744591972,Q3,50+,0,1,0.9104402992131618,0.08955970078683817
89,Zone 2,4,35,Unmarried,16,161,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,Yes,1,0,1,0,0,4.0,0,0,1,1,1,False,False,False,True,1365.8833088425888,Q4 (High),30-40,0,1,0.8002868978962019,0.1997131021037981
90,Zone 1,42,47,Married,17,212,College degree,No,Male,No,No,Yes,Plus service,No,0,1,0,0,1,3.0,0,1,0,0,1,False,False,True,False,2131.2832298722824,Q4 (High),40-50,1,1,0.984114290539323,0.015885709460677022
91,Zone 3,27,51,Married,3,80,Post-undergraduate degree,No,Male,No,Yes,No,E-service,No,0,0,0,1,1,4.0,0,1,0,1,0,False,True,False,False,1898.9005210559928,Q3,50+,0,1,0.9449928974861859,0.05500710251381413
92,Zone 2,38,42,Unmarried,1,30,College degree,No,Female,No,No,No,Basic service,No,0,0,1,0,0,3.0,0,0,0,0,0,True,False,False,False,1301.8781062516007,Q2,40-50,0,0,0.7758139184273085,0.2241860815726915
93,Zone 3,52,61,Married,3,53,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service,No,0,0,0,1,1,4.0,0,0,1,1,0,False,True,False,False,1921.2547972768011,Q3,50+,0,1,0.9492495630015978,0.050750436998402204
94,Zone 3,35,33,Unmarried,9,73,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,0,0,0,1,0,4.0,0,0,1,1,1,False,False,False,True,1198.5609345018015,Q3,30-40,0,1,0.7322608468414501,0.2677391531585499
95,Zone 3,3,20,Married,1,17,High school degree,No,Female,No,No,No,Basic service,Yes,1,0,0,1,1,2.0,0,0,0,0,0,True,False,False,False,1257.731636696516,Q1 (Low),<30,0,0,0.7578349843150587,0.2421650156849413
96,Zone 2,17,33,Unmarried,9,23,Post-undergraduate degree,No,Male,Yes,Yes,No,Total service,Yes,1,0,1,0,0,4.0,0,1,1,1,0,False,False,False,True,1140.8993072310584,Q1 (Low),30-40,0,0,0.7056440571660194,0.2943559428339806
97,Zone 1,55,53,Married,21,34,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,1,0,0,1,1.0,0,1,0,0,1,False,False,True,False,2204.8908227480447,Q2,50+,1,0,0.9944065388682042,0.005593461131795818
98,Zone 3,43,36,Married,5,107,Did not complete high school,No,Female,No,No,No,E-service,Yes,1,0,0,1,1,1.0,0,0,0,0,0,False,True,False,False,2129.581885331862,Q4 (High),30-40,1,1,0.983865612302273,0.016134387697727015
99,Zone 2,47,25,Married,5,21,Did not complete high school,No,Female,No,No,Yes,Plus service,Yes,1,0,1,0,1,1.0,0,0,0,0,1,False,False,True,False,1946.7123737320323,Q1 (Low),<30,0,0,0.9539590927991674,0.04604090720083265
100,Zone 3,65,58,Unmarried,30,83,High school degree,No,Female,No,No,No,E-service,No,0,0,0,1,0,2.0,0,0,0,0,0,False,True,False,False,2222.9427675607985,Q3,50+,1,1,0.9967968161575389,0.0032031838424610992
103,Zone 2,12,24,Unmarried,2,19,Did not complete high school,No,Male,No,No,Yes,Plus service,Yes,1,0,1,0,0,1.0,0,1,0,0,1,False,False,True,False,1635.867425164768,Q1 (Low),<30,0,0,0.8851726696572886,0.11482733034271142
104,Zone 1,29,32,Married,0,49,College degree,No,Female,No,Yes,No,E-service,Yes,1,1,0,0,1,3.0,0,0,0,1,0,False,True,False,False,1597.4707462217748,Q3,30-40,0,1,0.8747247777732693,0.1252752222267307
107,Zone 1,35,61,Unmarried,23,41,High school degree,No,Male,No,No,No,Basic service,No,0,1,0,0,0,2.0,0,1,0,0,0,True,False,False,False,2050.8815080228865,Q2,50+,0,0,0.9717933307350108,0.02820666926498916
109,Zone 1,13,54,Unmarried,2,31,College degree,No,Male,Yes,Yes,No,Basic service,No,0,1,0,0,0,3.0,0,1,1,1,0,True,False,False,False,857.9540390654765,Q2,50+,0,0,0.5492061060717935,0.45079389392820646
110,Zone 2,69,40,Married,13,41,High school degree,No,Male,No,No,No,E-service,No,0,0,1,0,1,2.0,0,1,0,0,0,False,True,False,False,2141.7970067330534,Q2,30-40,1,0,0.9856399397174013,0.01436006028259873
111,Zone 3,61,50,Married,30,102,College degree,No,Female,No,Yes,No,E-service,No,0,0,0,1,1,3.0,0,0,0,1,0,False,True,False,False,2181.3192284151937,Q4 (High),40-50,1,1,0.9912077298726643,0.008792270127335744
112,Zone 2,45,22,Married,2,36,College degree,No,Female,No,No,No,E-service,Yes,1,0,1,0,1,3.0,0,0,0,0,0,False,True,False,False,1815.938471949383,Q2,<30,0,0,0.9281476294404133,0.07185237055958671
113,Zone 2,3,37,Unmarried,13,24,Did not complete high school,No,Female,Yes,No,No,Basic service,No,0,0,1,0,0,1.0,0,0,1,0,0,True,False,False,False,1474.1443990670386,Q1 (Low),30-40,0,0,0.8376734441083242,0.16232655589167577
114,Zone 2,53,22,Unmarried,1,25,College degree,No,Male,No,Yes,No,E-service,No,0,0,1,0,0,3.0,0,1,0,1,0,False,True,False,False,1092.6236786284842,Q1 (Low),<30,0,0,0.6820264594770953,0.3179735405229047
115,Zone 1,59,42,Unmarried,1,68,High school degree,No,Female,No,No,Yes,Plus service,No,0,1,0,0,0,2.0,0,0,0,0,1,False,False,True,False,1868.2166903607556,Q3,40-50,0,1,0.9389592924971523,0.061040707502847735
117,Zone 3,31,31,Unmarried,4,48,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,0,0,1,0,1.0,0,1,0,0,1,False,False,True,False,1840.2269445093639,Q3,30-40,0,1,0.9332561577741249,0.06674384222587515
118,Zone 1,40,29,Married,6,40,High school degree,No,Female,No,No,Yes,Plus service,No,0,1,0,0,1,2.0,0,0,0,0,1,False,False,True,False,1934.1280518236322,Q2,<30,0,0,0.9516491552308028,0.048350844769197154
119,Zone 1,48,55,Unmarried,15,79,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,1,0,0,0,1.0,0,1,0,0,1,False,False,True,False,2150.2393836711044,Q3,50+,1,1,0.9868512931904688,0.013148706809531174
120,Zone 3,3,31,Unmarried,1,28,Did not complete high school,No,Male,No,Yes,Yes,Basic service,Yes,1,0,0,1,0,1.0,0,1,0,1,1,True,False,False,False,820.2547194935637,Q1 (Low),30-40,0,0,0.5250978503588679,0.4749021496411321
121,Zone 2,51,48,Unmarried,12,64,High school degree,No,Female,No,No,No,Basic service,No,0,0,1,0,0,2.0,0,0,0,0,0,True,False,False,False,1778.0186949271415,Q3,40-50,0,1,0.9198642167227133,0.08013578327728665
122,Zone 3,33,41,Unmarried,15,37,High school degree,No,Male,No,No,No,Basic service,No,0,0,0,1,0,2.0,0,1,0,0,0,True,False,False,False,1707.236491579583,Q2,40-50,0,0,0.9033406635726652,0.09665933642733482
123,Zone 3,14,47,Married,7,48,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,0,1,1,1.0,0,1,0,0,0,True,False,False,False,1936.8328398877761,Q3,40-50,0,1,0.9521486035499346,0.04785139645006542
124,Zone 1,17,42,Married,6,131,Post-undergraduate degree,No,Male,No,Yes,No,E-service,Yes,1,1,0,0,1,4.0,0,1,0,1,0,False,True,False,False,1761.7364859475344,Q4 (High),40-50,0,1,0.9161884362075611,0.08381156379243893
125,Zone 3,19,29,Married,9,18,High school degree,No,Male,No,Yes,Yes,Basic service,Yes,1,0,0,1,1,2.0,0,1,0,1,1,True,False,False,False,1112.6126522617762,Q1 (Low),<30,0,0,0.6919553466074744,0.3080446533925256
126,Zone 2,58,36,Unmarried,10,38,High school degree,No,Female,No,No,No,E-service,No,0,0,1,0,0,2.0,0,0,0,0,0,False,True,False,False,2018.8137577103505,Q2,30-40,0,0,0.9665390865336327,0.03346091346636726
127,Zone 3,22,23,Unmarried,3,37,High school degree,No,Female,Yes,Yes,No,Total service,No,0,0,0,1,0,2.0,0,0,1,1,0,False,False,False,True,1120.531462573792,Q2,<30,0,0,0.6958300116040738,0.30416998839592624
128,Zone 2,29,31,Married,1,60,College degree,No,Male,No,Yes,No,E-service,Yes,1,0,1,0,1,3.0,0,1,0,1,0,False,True,False,False,1562.5283623483492,Q3,30-40,0,1,0.8647832349121871,0.13521676508781288
130,Zone 2,70,64,Married,18,98,Did not complete high school,No,Female,Yes,No,Yes,Total service,No,0,0,1,0,1,1.0,0,0,1,0,1,False,False,False,True,2212.544076682614,Q4 (High),50+,1,1,0.9954261306610623,0.004573869338937664
131,Zone 1,62,52,Married,2,195,Did not complete high school,No,Male,No,No,Yes,Plus service,Yes,1,1,0,0,1,1.0,0,1,0,0,1,False,False,True,False,2125.45371511815,Q4 (High),50+,1,1,0.9832601199596791,0.016739880040320898
